# =========================================================
#  pro CCD SPEKTROMETR PRINCETON INSTRUMENTS (1340 pixelu)
#                  s mrizkou 1200 vrypu/mm
# =========================================================
#
#  V radku jsou ulozeny pixlove souradnice KALIBRACNICH car,
#  lezi v intervalu zhruba <0,8100>. Dale prislusne vlnove
#  delky a potom kodova jmena car.
#
#  Hodnoty kalibracnich car jsou prevzaty z programu NeokalSpex1
#  Rev.3 od J.Bok z 20.11.2007.
#
# Pixels/px Wavelength/cm^-1 LineName
# -65.5 437.21540 'AM45' ! prilis blizko excitaci 441 nm
# -24.6 439.55560 'AM44' !     - // -
#   4.7 441.22850 'AM43' !     - // -  , neurceno dostatecne spolehlive - asi 441.2285
#  88.5 446.01760 'AM42' ! 446.0176??? prilis divoke okoli
# 128.8 448.31929 'AM41' ! prilis maly pik
  137.4 448.80930 'AM40'
# 144.0 449.18470 'AM39' ! prilis divoke okoli
# 198.1 452.27200 'AM35' !    -  //  -
# 290.0 457.50613 'AM32' ! blizky dublet, nelze pouzit!
# 359.1 461.43910 'AM30' ! zpotvorena, nesymetricka!
  433.0 465.63933 'AM27'
# 441.3 466.11052 'AM26' ! prilis maly pik
# 458.5 467.08841 'AM25' ! prilis slaba
# 488.0 468.76718 'AM23' ! funguje, ale ne moc dobre - asi je to maly pik
  517.5 470.43950 'AM22'
  536.8 471.53459 'AM20'
# 597.1 474.95743 'AM18' ! nefunguje...
# 602.7 475.27317 'AM17' ! blizko vlevo je maly pik
# 734.9 482.75870 'AM11' ! velmi blizko je jina cara, asi spatny fit
  752.1 483.73132 'AM10'
  836.3 488.49177 'AM6 '
  849.0 489.20896 'AM5 '
# 891.5 491.60700 'HgM1'
# 913.1 492.82366 'Am4 ' ! pro tuto mrizku je to tesny dublet!
  932.2 493.90442 'Am3 '
  942.8 494.49886 'Am2 '
  964.1 495.70336 'Am1 ' ! cisty Ne: OK,  ale pozor na argon: kolize s 495.675 !!!
# 978.4 496.50795 'ArM7'
# 1022.5 498.99430 'ArM6'
  1049.6 500.51586 'A0  ' ! cisty Ne: OK,  ale pozor na argon! 
  1081.0 502.28671 'A1  '                                     
  1096.1 503.13499 'A2  ' ! cisty Ne: OK,  ale pozor: kolize s Ar: 503.203 !!!
  1107.5 503.77511 'A3  '
# 1127.2 504.88110 'ArM5'
# 1147.2 506.00790 'ArM4'
  1172.3 507.42006 'A4  '
  1183.4 508.03851 'A5  '
  1216.6 509.90453 'A6  ' ! cisty Ne: OK,  ale pozor: kolize s Ar: 509.897 !!!
  1226.7 510.47005 'A7  '
  1242.7 511.36725 'A8  '
  1247.7 511.65031 'A9  '
  1298.5 514.49797 'A11 ' ! z neznamych pricin zlobi... - ale nyni se zda OK!!!
# 1315.3 515.44268 'A12 ' ! ztracena ve zmeti malych piku
# 1323.3 515.89017 'A13 ' ! ztracena ve zmeti malych piku
# 1329.3 516.22850 'ArM3'
  1384.5 519.31751 'B1  '
  1403.7 520.38959 'B2  '
# 1412.5 520.88643 'B3  ' ??? PROC ???
  1457.5 523.40272 'B4  '
  1529.1 527.40401 'B5  '
  1572.4 529.81893 'B6  '
  1584.2 530.47576 'B7  '
# 1623.0 532.63966 'B8  ' ??? PROC ???
  1630.8 533.07775 'B9  '
# 1649.4 534.10937 'B10 ' ??? PROC ???
# 1653.3 534.32836 'B11 ' ??? PROC ???
  1663.9 534.92031 'B12 '
# 1683.3 536.00115 'B13 ' ! tesny dublet - nevhodna !!!
  1756.2 540.05617 'B14 '
  1815.7 543.36511 'B15 '
  1842.5 544.85094 'B16 '
# 1848.1 545.16520 'ArM2'
# 1864.5 546.07400 'Hg0 '
# 1887.4 547.34510 'ArM1'
# 1927.8 549.58735 'Ar0 '
# 1946.3 550.61125 'Ar1 '
# 1980.3 552.49570 'Ar1a'
# 2041.3 555.87020 'Ar1b'
  2048.6 556.27665 'C1  '
# 2066.3 557.25410 'Ar1c'
# 2095.5 558.87200 'Ar1d'
# 2111.4 559.74760 'Ar1e'
# 2128.1 560.67330 'Ar2 '
# 2207.8 565.07040 'Ar3 '
# 2211.2 565.25670 'C2  ' ! uschopnena! A opet zrusena...
  2218.6 565.66588 'C3  '
# 2229.3 566.25489 'C4  '
  2278.8 568.98162 'C5  '
  2332.2 571.92252 'C6  '
# 2369.1 573.95195 'Ar4 '
  2385.1 574.82987 'C7  '
  2414.4 576.44190 'C8  '
# 2423.8 576.96000 'Hg1 '
# 2462.2 579.06600 'Hg2 '
  2487.3 580.44495 'C9  '
  2516.0 582.01558 'C10 '
  2575.0 585.24879 'C11 ' ! je prilis silna a jeji vrsek byva ufiknuty !!!
# 2612.1 587.28273 'C11a' ! prilis slaba
  2628.7 588.18951 'C12 '
# 2640.9 588.85840 'Ar5 '
# 2666.3 590.24622 'C13 ' ! prilis slaba
# 2673.6 590.64286 'C13a' ! prilis slaba
# 2683.9 591.20850 'Ar6 '
# 2696.4 591.89074 'C14 ' ! mozna, ze ma spatne urcenou vln.delku !!!
# 2714.6 592.88125 'Ar7 '
  2743.9 594.48341 'C15 '
  2800.2 597.55342 'C17 '
  2900.2 602.99968 'C21 '
  2981.8 607.43376 'C23 '
  3022.0 609.61630 'C24 '
  3108.5 614.30626 'C26 '
  3146.4 616.35938 'C27 '
  3245.7 621.72812 'C28 '
  3336.9 626.64951 'C29 '
  3408.0 630.47891 'C30 '
  3463.1 633.44277 'C31 '
  3553.5 638.29915 'C32 '
  3589.4 640.22460 'C33 '
  3784.3 650.65279 'C34 '
  3833.7 653.28823 'C35 '
  3957.8 659.89528 'C36 '
  4057.9 665.20926 'C36a' 
  4107.2 667.82764 'C37 '
  4180.4 671.70430 'C38 '
  4583.8 692.94673 'C39 '
  4764.6 702.40502 'C40 '
  4780.6 703.24129 'C41 '
  4816.8 705.12923 'C42 '
  4831.8 705.91077 'C43 '
  5052.7 717.39380 'C44 '
  5190.3 724.51665 'C45 '
  5567.0 743.88982 'C46 '
  5664.8 748.88712 'C48 '
  5756.7 753.57740 'C49 '
  5773.0 754.40441 'C50 '
  6130.4 772.46230 'C50a'
  6358.0 783.90524 'C50b'     
# 6532.0 792.62005 'C50c' ! Ta nejak nefunguje...
  6552.0 793.69959 'C51 '
  6564.5 794.31809 'C52 '
  6844.5 808.24578 'C53 '
  6917.4 811.85493 'C54 '
  6938.4 812.89109 'C55 '
  6953.5 813.64058 'C56 '
  7286.6 830.03253 'C59 '
  7444.7 837.76075 'C61 '
  7686.9 849.53594 'C65 '
  7885.2 859.12583 'C69 '
  7975.3 863.46471 'C70 '
  8016.4 865.43829 'C72 '
  8122.5 870.41119 'C75 '
